index,latitude,longitude,open_datetime,closed_datetime
8327,42.272737,-71.610858,1632474000.0,1632531600.0
8329,42.959158,-71.437056,1632474000.0,1632535200.0
8331,42.79906,-71.474253,1632474000.0,1632531600.0
8332,42.122934,-71.644611,1632474000.0,1632538800.0
8333,42.955073,-71.432433,1632495600.0,1632524400.0
8334,42.948358,-71.433289,1632470400.0,1632535200.0
8335,42.92781,-71.43765,1632474000.0,1632524400.0
8337,43.300321,-71.347967,1632470400.0,1632531600.0
8338,42.987041,-71.42028,1632470400.0,1632535200.0
8339,43.228605,-71.362385,1632470400.0,1632531600.0
8340,42.578337,-71.521117,1632477600.0,1632520800.0
8341,42.384069,-71.569877,1632474000.0,1632535200.0
8342,42.670647,-71.497316,1632481200.0,1632517200.0
8343,42.34102,-71.579206,1632474000.0,1632531600.0
8345,44.10749,-71.1601,1632474000.0,1632531600.0
8346,42.486396,-71.540072,1632474000.0,1632535200.0
8347,42.37977,-71.566033,1632470400.0,1632535200.0
8348,42.938748,-71.426183,1632474000.0,1632531600.0
8349,42.170889,-71.619566,1632474000.0,1632535200.0
8351,42.764232,-71.466029,1632472200.0,1632531600.0
8352,42.082066,-71.638994,1632474000.0,1632535200.0
8353,42.392628,-71.557522,1632470400.0,1632535200.0
8354,42.342129,-71.569187,1632470400.0,1632524400.0
8356,43.834053,-71.207859,1632474000.0,1632531600.0
8357,42.753006,-71.461655,1632472200.0,1632524400.0
8358,42.7536,-71.4596,1632481200.0,1632531600.0
8359,43.009077,-71.396544,1632470400.0,1632528000.0
8360,41.440925,-71.802066,1632470400.0,1632531600.0
8361,43.005302,-71.394199,1632474000.0,1632535200.0
8362,42.53864,-71.509762,1632474000.0,1632531600.0
8363,41.369948,-71.820213,1632470400.0,1632517200.0
8364,41.367946,-71.818736,1632474000.0,1632524400.0
8365,42.761425,-71.448935,1632472200.0,1632531600.0
8366,42.774831,-71.445027,1632470400.0,1632535200.0
8367,42.43437,-71.528901,1632474000.0,1632531600.0
8368,41.906506,-71.660505,1632470400.0,1632538800.0
8369,42.728442,-71.448101,1632470400.0,1632535200.0
8370,41.967581,-71.643511,1632470400.0,1632533400.0
8371,42.336554,-71.541533,1632474000.0,1632535200.0
8372,43.02357,-71.369377,1632470400.0,1632535200.0
8373,41.42583,-71.78413,1632474000.0,1632524400.0
8374,42.351086,-71.534092,1632470400.0,1632524400.0
8375,42.710231,-71.441717,1632474000.0,1632535200.0
8376,41.826095,-71.670967,1632470400.0,1632531600.0
8377,42.754374,-71.429291,1632474000.0,1632535200.0
8378,42.819556,-71.412732,1632470400.0,1632531600.0
8379,42.702088,-71.440668,1632495600.0,1632524400.0
8380,43.9742,-71.141,1632470400.0,1632535200.0
8381,42.697785,-71.440527,1632474000.0,1632535200.0
8382,42.915771,-71.384963,1632470400.0,1632531600.0
8383,42.54602,-71.474751,1632474000.0,1632531600.0
8384,42.611813,-71.456586,1632474000.0,1632524400.0
8387,42.349551,-71.517206,1632474000.0,1632510000.0
8388,42.881288,-71.382259,1632474000.0,1632531600.0
8389,42.54283,-71.465187,1632474000.0,1632528000.0
8390,42.286365,-71.525641,1632474000.0,1632528000.0
8391,42.914443,-71.366274,1632470400.0,1632535200.0
8392,43.585294,-71.206823,1632474000.0,1632531600.0
8393,42.205275,-71.545012,1632474000.0,1632517200.0
8394,42.433937,-71.48542,1632474000.0,1632528000.0
8395,42.218181,-71.54095,1632472200.0,1632528000.0
8396,42.660903,-71.426786,1632474000.0,1632535200.0
8397,44.0175,-71.1078,1632481200.0,1632531600.0
8398,42.350301,-71.503192,1632474000.0,1632524400.0
8399,41.352182,-71.770579,1632474000.0,1632517200.0
8400,42.004971,-71.588409,1632466800.0,1632535200.0
8401,42.102808,-71.560846,1632474000.0,1632535200.0
8402,42.554985,-71.440584,1632474000.0,1632524400.0
8403,42.626031,-71.421133,1632474000.0,1632535200.0
8404,42.468873,-71.456345,1632472200.0,1632520800.0
8405,42.847373,-71.359526,1632470400.0,1632535200.0
8406,43.45267,-71.21434,1632470400.0,1632531600.0
8407,42.476825,-71.450001,1632472200.0,1632528000.0
8408,42.862742,-71.349913,1632470400.0,1632535200.0
